s|accur|energy|privacy
(1, (4, 2, 6, 8, 2, 8, 8, 4, 6, 4, 8, 6, 6, 8, 8, 4, 4, 4, 4)) 0.7613999843597412 0.025472819200000003 11.741277694702148
(7, (6, 8, 8, 4, 6, 4, 6, 6, 8, 4, 4, 2, 6, 2, 8, 2, 2, 4, 8)) 0.7646999955177307 0.16056791040000004 20.092975616455078
(19, (8, 4, 4, 2, 6, 8, 4, 2, 8, 6, 6, 4, 2, 8, 2, 6, 6, 6, 4)) 0.41110000014305115 0.4867782656000001 281.869140625
(3, (8, 2, 8, 4, 6, 2, 6, 8, 8, 8, 4, 4, 6, 6, 4, 2, 8, 6, 6)) 0.7145000100135803 0.0878032896 8.194511413574219
(6, (8, 2, 2, 4, 2, 2, 2, 2, 6, 6, 8, 4, 8, 6, 4, 8, 8, 8, 8)) 0.050599999725818634 0.1019828224 33.156856536865234
(19, (6, 8, 8, 2, 2, 8, 2, 2, 2, 8, 8, 2, 6, 6, 4, 2, 8, 6, 4)) 0.07209999859333038 0.4738586624 436.3157958984375
(8, (6, 8, 8, 4, 2, 4, 2, 8, 6, 8, 8, 4, 6, 6, 4, 2, 8, 6, 4)) 0.04649999737739563 0.1869461504 5.900951862335205
(2, (8, 2, 8, 8, 4, 2, 6, 4, 2, 2, 4, 8, 6, 6, 4, 2, 8, 6, 6)) 0.7132999897003174 0.0527251456 68.52484130859375
(19, (2, 6, 2, 6, 2, 8, 6, 2, 2, 8, 8, 2, 6, 6, 8, 2, 6, 8, 4)) 0.11829999834299088 0.48138711040000004 354.5118408203125
(19, (2, 6, 2, 6, 4, 8, 6, 2, 6, 8, 8, 2, 6, 6, 8, 2, 6, 8, 4)) 0.026200000196695328 0.5021702144 649.0531005859375
(19, (2, 8, 2, 6, 4, 8, 2, 2, 6, 2, 8, 6, 6, 6, 8, 2, 6, 8, 4)) 0.023399999365210533 0.49402818560000006 433.89154052734375
(2, (4, 8, 2, 6, 4, 8, 6, 2, 6, 8, 8, 2, 6, 4, 8, 6, 6, 2, 4)) 0.7609999775886536 0.0605509632 10.858920097351074
(19, (2, 6, 2, 4, 4, 8, 6, 2, 2, 8, 8, 2, 4, 2, 8, 2, 6, 8, 4)) 0.16339999437332153 0.44687994880000004 356.0992126464844
(19, (2, 8, 2, 4, 4, 8, 8, 2, 2, 8, 8, 8, 4, 2, 6, 2, 6, 8, 4)) 0.2199999988079071 0.4480456704 312.18902587890625
(7, (8, 6, 2, 4, 4, 4, 6, 2, 6, 2, 8, 2, 8, 6, 8, 2, 2, 4, 4)) 0.7465999722480774 0.1327372288 22.348777770996094
(5, (2, 6, 2, 6, 4, 8, 6, 2, 6, 8, 8, 2, 6, 2, 8, 2, 6, 2, 4)) 0.7078999876976013 0.09434624000000001 8.233154296875


s|accur|energy|privacy
(2, (8, 8, 6, 4, 2, 8, 2, 8, 4, 2, 4, 4, 8, 2, 6, 8, 6, 2, 4)) 0.7683999538421631 0.0762025984 11.274760246276855
(14, (6, 6, 6, 6, 2, 2, 6, 4, 4, 2, 2, 8, 4, 6, 6, 2, 2, 6, 8)) 0.036399997770786285 0.25995243520000005 6.616813659667969
(1, (4, 6, 4, 6, 4, 2, 8, 8, 4, 6, 8, 6, 6, 4, 4, 2, 4, 6, 2)) 0.7612999677658081 0.025472819200000003 11.74128532409668
(7, (4, 2, 8, 8, 6, 6, 8, 4, 6, 6, 8, 8, 6, 8, 6, 8, 2, 4, 8)) 0.7128999829292297 0.153906176 22.25547218322754
(14, (4, 4, 4, 6, 8, 6, 2, 6, 6, 2, 8, 2, 8, 4, 6, 6, 8, 8, 8)) 0.02149999886751175 0.32002191360000004 0.9896988272666931
(16, (2, 8, 4, 4, 8, 8, 8, 6, 6, 4, 6, 8, 2, 4, 8, 8, 2, 2, 2)) 0.6847000122070312 0.4174952448 28.029401779174805
(16, (2, 8, 4, 8, 8, 8, 8, 6, 6, 4, 6, 8, 2, 4, 6, 8, 8, 2, 2)) 0.6862999796867371 0.4235098112 27.76647186279297
(5, (2, 8, 4, 4, 8, 8, 8, 6, 6, 4, 6, 8, 6, 4, 8, 8, 2, 2, 2)) 0.7257999777793884 0.1108785152 10.720718383789062
(16, (2, 6, 8, 4, 8, 4, 8, 6, 6, 4, 6, 8, 2, 6, 8, 8, 6, 4, 2)) 0.6832999587059021 0.4192360448 27.186580657958984
(12, (2, 8, 4, 4, 8, 8, 8, 6, 6, 4, 6, 8, 2, 4, 4, 8, 2, 2, 2)) 0.7226999998092651 0.25809530880000003 26.095651626586914
(16, (2, 8, 4, 4, 8, 8, 8, 8, 6, 4, 8, 2, 8, 4, 8, 8, 2, 2, 2)) 0.7238999605178833 0.4648876032 31.711400985717773
(16, (2, 8, 4, 8, 8, 8, 8, 6, 4, 4, 4, 8, 2, 2, 8, 8, 2, 6, 4)) 0.677299976348877 0.4042422272 30.19055938720703
(12, (8, 6, 4, 8, 8, 8, 8, 6, 4, 4, 4, 8, 2, 6, 8, 2, 6, 4, 4)) 0.7601999640464783 0.270838784 24.996850967407227
(1, (8, 8, 4, 4, 8, 2, 8, 8, 8, 6, 8, 2, 2, 4, 6, 8, 2, 2, 2)) 0.7680999636650085 0.041124454399999996 10.70448112487793
(12, (8, 6, 8, 8, 8, 2, 8, 6, 4, 4, 4, 8, 2, 6, 2, 2, 6, 4, 4)) 0.6970999836921692 0.26184560640000004 20.003644943237305
(16, (2, 8, 4, 4, 8, 8, 6, 8, 6, 4, 8, 2, 8, 4, 8, 8, 2, 2, 2)) 0.7250999808311462 0.46411264 31.5687198638916
