v/b, punishment
1.0,1.0
1.2,0.8705505632961241
1.4,0.7578582832551991
1.6,0.6597539553864471
1.8,0.5743491774985174
2.0,0.5
2.2,0.435275281648062
2.4,0.37892914162759944
2.6,0.32987697769322355
2.8,0.2871745887492588
3.0,0.25
3.2,0.217637640824031
3.4,0.18946457081379972
3.6,0.16493848884661177
3.8,0.14358729437462936
4.0,0.125
4.2,0.1088188204120155
4.4,0.09473228540689986
4.6,0.08246924442330592
4.8,0.07179364718731465
5.0,0.0625
