[[9, [6, 2, 6, 8, 6, 8, 8, 2, 6, 4, 4, 8, 8, 8, 2, 8, 2, 8, 2, 2, 4, 4, 2, 6, 4, 6]], 0.025699999183416367]
[[6, [2, 6, 2, 8, 6, 4, 6, 8, 4, 4, 6, 6, 8, 8, 8, 2, 4, 4, 8, 2, 4, 4, 2, 4, 6, 4]], 0.1833999902009964]
[[13, [8, 4, 6, 4, 6, 6, 8, 6, 8, 2, 2, 6, 6, 6, 4, 2, 4, 6, 4, 8, 8, 8, 4, 2, 6, 8]], 0.01809999905526638]
[[8, [8, 6, 6, 4, 8, 4, 4, 2, 4, 4, 4, 4, 8, 2, 2, 4, 8, 6, 8, 6, 8, 8, 2, 8, 8, 8]], 0.009999999776482582]
[[2, [6, 2, 8, 4, 6, 6, 8, 6, 8, 6, 2, 6, 8, 6, 6, 8, 6, 6, 2, 6, 6, 4, 2, 6, 4, 2]], 0.5740999579429626]
[[6, [6, 2, 8, 8, 2, 2, 8, 4, 4, 2, 4, 2, 2, 4, 8, 6, 6, 8, 8, 4, 6, 4, 6, 6, 4, 2]], 0.013399999588727951]
[[13, [2, 4, 6, 4, 6, 2, 4, 4, 8, 2, 2, 8, 2, 8, 4, 2, 2, 6, 2, 6, 6, 2, 6, 8, 4, 6]], 0.014299999922513962]
[[2, [6, 2, 8, 2, 8, 6, 6, 4, 6, 8, 6, 6, 4, 2, 4, 8, 8, 6, 2, 6, 8, 6, 2, 8, 6, 2]], 0.03759999945759773]
[[6, [8, 6, 8, 2, 6, 8, 2, 8, 8, 6, 2, 6, 2, 4, 4, 8, 6, 6, 8, 6, 4, 4, 2, 4, 6, 2]], 0.10109999775886536]
[[3, [2, 2, 6, 6, 6, 4, 6, 8, 8, 4, 2, 8, 4, 2, 6, 8, 2, 4, 8, 2, 2, 2, 8, 6, 4, 6]], 0.21779999136924744]
[[4, [6, 2, 4, 8, 4, 6, 4, 4, 2, 4, 2, 8, 8, 4, 2, 2, 8, 8, 2, 2, 6, 6, 8, 4, 4, 6]], 0.5773000121116638]
[[9, [2, 2, 8, 4, 6, 8, 4, 4, 2, 2, 2, 4, 2, 2, 8, 6, 8, 4, 8, 4, 2, 8, 4, 6, 2, 2]], 0.02369999885559082]
[[11, [8, 6, 4, 8, 2, 8, 6, 8, 2, 4, 8, 8, 6, 2, 6, 2, 6, 2, 8, 2, 2, 4, 8, 8, 8, 6]], 0.012000000104308128]
[[13, [6, 8, 6, 4, 6, 2, 8, 2, 6, 6, 2, 4, 6, 6, 6, 6, 6, 8, 2, 2, 4, 2, 6, 2, 8, 8]], 0.015599999576807022]
[[10, [6, 8, 8, 4, 2, 6, 8, 2, 2, 6, 4, 8, 2, 8, 8, 8, 8, 2, 4, 8, 2, 4, 8, 8, 8, 8]], 0.03819999843835831]
[[0, [4, 6, 8, 8, 4, 4, 2, 6, 6, 2, 2, 8, 4, 2, 2, 4, 8, 4, 2, 4, 2, 4, 6, 2, 6, 2]], 0.652999997138977]
