[[13, [2, 4, 2, 6, 8, 8, 4, 8, 8, 2, 6, 6, 8, 2, 2, 4, 8, 8, 8, 6, 2, 4, 4, 2, 6, 2, 6, 8, 4, 2, 2, 8, 4, 4, 8, 8, 4, 2, 4, 2, 4, 6, 6, 4, 8, 8, 4, 8, 4, 8, 4, 2]], 0.9448060927999997]
[[15, [4, 2, 8, 2, 2, 8, 8, 2, 2, 6, 6, 2, 6, 2, 6, 2, 8, 8, 8, 4, 2, 2, 8, 8, 6, 2, 8, 8, 2, 8, 8, 2, 4, 8, 6, 6, 8, 8, 4, 8, 8, 4, 4, 6, 8, 8, 4, 6, 4, 4, 8, 8]], 1.2104554495999997]
[[6, [6, 6, 6, 2, 2, 2, 8, 4, 8, 8, 4, 8, 6, 4, 6, 4, 6, 8, 4, 2, 2, 8, 2, 2, 4, 6, 4, 8, 4, 2, 8, 2, 4, 4, 4, 6, 8, 4, 6, 4, 2, 2, 6, 4, 6, 8, 6, 8, 4, 2, 8, 8]], 0.38258913279999995]
[[1, [6, 4, 6, 4, 4, 4, 2, 2, 2, 4, 4, 4, 6, 6, 6, 4, 6, 2, 8, 2, 8, 2, 6, 2, 2, 4, 6, 8, 6, 6, 4, 4, 8, 4, 2, 6, 8, 8, 2, 4, 2, 8, 8, 6, 4, 8, 2, 2, 8, 2, 2, 4]], 0.0867596288]
[[15, [2, 2, 8, 8, 2, 4, 8, 6, 2, 4, 2, 6, 2, 2, 2, 4, 4, 4, 6, 6, 8, 2, 6, 4, 2, 2, 2, 8, 6, 4, 6, 2, 6, 6, 4, 6, 8, 2, 6, 8, 6, 2, 6, 4, 4, 4, 4, 8, 4, 8, 6, 8]], 1.0367072255999998]
[[12, [2, 2, 6, 4, 6, 8, 2, 6, 6, 4, 8, 6, 2, 8, 6, 4, 2, 2, 6, 8, 4, 2, 4, 8, 2, 6, 4, 2, 6, 8, 4, 6, 8, 8, 6, 4, 4, 8, 8, 4, 4, 2, 4, 4, 8, 2, 4, 6, 4, 4, 2, 8]], 0.7805777919999998]
[[9, [6, 6, 6, 2, 8, 6, 6, 8, 4, 6, 2, 4, 8, 6, 6, 4, 4, 8, 6, 8, 8, 8, 2, 4, 6, 4, 6, 6, 6, 2, 2, 4, 8, 8, 4, 6, 8, 4, 6, 4, 8, 2, 2, 4, 4, 2, 8, 2, 6, 2, 6, 8]], 0.6206420992]
[[10, [4, 4, 8, 6, 4, 4, 2, 8, 8, 8, 8, 8, 8, 8, 2, 4, 4, 4, 8, 4, 6, 6, 6, 4, 8, 4, 6, 2, 2, 4, 2, 2, 8, 4, 2, 6, 8, 8, 8, 2, 8, 4, 6, 4, 6, 6, 4, 4, 4, 2, 4, 2]], 0.6617585664000001]
[[4, [8, 6, 6, 2, 4, 2, 4, 6, 8, 4, 8, 4, 2, 8, 6, 8, 6, 4, 4, 2, 6, 6, 8, 6, 2, 6, 4, 2, 8, 6, 2, 8, 6, 8, 2, 6, 4, 4, 8, 6, 8, 6, 4, 6, 6, 4, 8, 6, 4, 2, 2, 4]], 0.31061176320000006]
[[12, [2, 2, 8, 4, 2, 6, 2, 4, 6, 4, 6, 8, 4, 2, 6, 4, 4, 2, 6, 2, 4, 8, 2, 2, 6, 6, 2, 4, 2, 2, 6, 6, 2, 8, 4, 8, 6, 8, 6, 8, 8, 8, 4, 6, 2, 8, 8, 8, 4, 6, 4, 8]], 0.7477532671999998]
[[5, [4, 8, 6, 4, 8, 2, 8, 6, 4, 6, 4, 2, 8, 6, 8, 4, 4, 4, 4, 6, 4, 6, 2, 4, 6, 6, 8, 4, 8, 6, 4, 6, 4, 6, 8, 2, 6, 6, 4, 4, 8, 6, 8, 4, 2, 8, 2, 8, 8, 2, 2, 8]], 0.3298080768]
[[5, [2, 4, 8, 8, 6, 4, 6, 2, 6, 2, 8, 8, 6, 2, 8, 2, 4, 6, 6, 6, 4, 6, 4, 4, 4, 4, 2, 6, 2, 6, 4, 4, 2, 8, 8, 8, 6, 6, 2, 4, 8, 4, 8, 2, 2, 6, 2, 6, 4, 6, 4, 8]], 0.3403454464]
[[9, [6, 6, 2, 4, 4, 2, 4, 4, 8, 8, 4, 6, 6, 4, 2, 8, 2, 2, 8, 6, 2, 2, 2, 6, 8, 6, 6, 2, 4, 6, 8, 4, 8, 6, 8, 8, 6, 2, 6, 6, 6, 6, 4, 4, 8, 2, 4, 8, 2, 6, 4, 4]], 0.5884049407999998]
[[6, [8, 4, 2, 6, 8, 4, 2, 8, 8, 6, 6, 8, 2, 4, 6, 4, 4, 8, 4, 2, 2, 6, 2, 6, 4, 4, 4, 2, 2, 4, 6, 4, 4, 4, 8, 6, 2, 6, 2, 8, 4, 2, 6, 8, 8, 8, 8, 4, 2, 2, 6, 2]], 0.3808598016]
[[8, [2, 4, 8, 6, 8, 8, 8, 8, 8, 2, 6, 2, 4, 2, 2, 6, 2, 2, 4, 8, 8, 2, 4, 2, 2, 8, 8, 8, 6, 8, 4, 4, 8, 2, 2, 8, 4, 6, 8, 8, 6, 4, 8, 4, 2, 6, 6, 2, 2, 6, 2, 6]], 0.5359138815999999]
